Date,Team1,Team2,Score,MatchResult,Score1,Score2,Team1_last5_win_rate,Team1_last5_avg_score,Team1_last5_avg_concede,MatchResult2,Team2_last5_win_rate,Team2_last5_avg_score,Team2_last5_avg_concede,h2h_team1_win_rate
2021-08-02 08:20:00,Rusya,Türkiye,2:3,2,2,3,0.6,2.2,1.2,1,0.6,2.4,1.2,0.5333333333333333
2021-08-02 10:25:00,Çin,Arjantin,3:0,1,3,0,0.4,1.6,1.8,0,0.0,0.0,3.0,0.8
2021-08-02 13:40:00,Japonya,Dominik Cumhuriyeti,1:3,2,1,3,0.2,1.0,2.4,1,0.2,1.8,2.6,0.7777777777777778
2021-08-02 15:45:00,Brezilya,Kenya,3:0,1,3,0,0.8,2.6,1.4,0,0.2,0.6,2.4,1.0
2021-08-04 03:00:00,Güney Kore,Türkiye,3:2,1,3,2,0.4,1.8,2.2,0,0.6,2.4,1.6,0.0
2021-08-04 07:00:00,Dominik Cumhuriyeti,Amerika Birleşik Devletleri,0:3,2,0,3,0.8,2.6,1.2,1,0.8,2.4,1.0,0.16666666666666666
2021-08-04 11:00:00,Sırbistan,İtalya,3:0,1,3,0,0.8,2.6,0.6,0,0.4,2.0,2.0,0.7
2021-08-04 15:30:00,Brezilya,Rusya,3:1,1,3,1,0.8,2.6,1.2,0,0.4,1.8,2.2,0.9166666666666666
2021-08-04 19:00:00,Polonya,Almanya,3:2,1,3,2,0.0,0.8,3.0,0,0.0,1.2,3.0,0.875
2021-08-05 18:00:00,Çek Cumhuriyeti,Hollanda,2:3,2,2,3,0.6,2.2,1.6,1,0.4,1.2,2.6,0.0
2021-08-05 19:00:00,Polonya,Almanya,3:2,1,3,2,0.2,1.2,2.8,0,0.0,1.2,3.0,0.8888888888888888
2021-08-05 20:30:00,Macaristan,Azerbaycan,3:2,1,3,2,0.4,1.4,1.8,0,0.6,2.0,1.6,0.0
2021-08-06 07:00:00,Sırbistan,Amerika Birleşik Devletleri,0:3,2,0,3,0.8,2.6,0.6,1,0.8,2.4,0.8,0.4
2021-08-06 15:00:00,Brezilya,Güney Kore,3:0,1,3,0,0.8,2.6,1.2,0,0.2,0.6,2.8,0.8571428571428571
2021-08-06 18:00:00,Hollanda,Azerbaycan,3:0,1,3,0,0.6,2.4,1.6,0,0.4,1.8,1.8,0.75
2021-08-06 20:30:00,Macaristan,Çek Cumhuriyeti,0:3,2,0,3,0.4,1.4,2.2,1,0.6,2.6,1.4,0.5
2021-08-07 18:00:00,Azerbaycan,Çek Cumhuriyeti,0:3,2,0,3,0.0,0.0,3.0,1,0.6,2.6,1.4,
2021-08-07 20:30:00,Macaristan,Hollanda,0:3,2,0,3,0.4,1.2,2.2,1,0.6,1.8,2.4,0.0
2021-08-08 03:00:00,Güney Kore,Sırbistan,0:3,2,0,3,0.6,2.4,2.0,1,0.2,0.6,2.4,0.3333333333333333
2021-08-08 07:30:00,Brezilya,Amerika Birleşik Devletleri,0:3,2,0,3,1.0,3.0,0.6,1,0.8,2.4,0.8,0.3333333333333333
2021-08-18 21:30:00,Bulgaristan,Yunanistan,3:0,1,3,0,0.8,2.4,0.8,0,0.2,1.0,2.4,1.0
2021-08-18 21:30:00,Romanya,Türkiye,1:3,2,1,3,0.2,1.2,2.8,1,0.4,2.2,2.2,0.0
2021-08-19 17:30:00,İspanya,Çek Cumhuriyeti,1:3,2,1,3,0.2,0.8,2.8,1,0.6,2.6,1.2,0.3333333333333333
2021-08-19 18:00:00,Hırvatistan,İsviçre,3:0,1,3,0,0.4,2.0,1.8,0,0.4,1.2,2.2,
2021-08-19 18:00:00,Sırbistan,Bosna Hersek,3:0,1,3,0,0.6,2.0,1.2,0,,,,
2021-08-19 19:30:00,Hollanda,Ukrayna,3:0,1,3,0,0.6,2.4,1.4,0,0.2,1.4,2.8,
2021-08-19 20:30:00,Almanya,Polonya,1:3,2,1,3,0.6,2.0,1.2,1,0.4,1.6,2.2,0.1
2021-08-20 17:30:00,Finlandiya,Hollanda,0:3,2,0,3,0.6666666666666666,2.6666666666666665,1.6666666666666667,1,0.6,1.8,2.0,
2021-08-20 17:30:00,Çek Cumhuriyeti,Almanya,1:3,2,1,3,0.4,2.0,2.0,1,0.0,1.6,3.0,0.0
2021-08-20 18:15:00,İtalya,Belarus,3:0,1,3,0,0.6,2.4,1.6,0,0.2,0.8,2.6,1.0
2021-08-20 20:30:00,Yunanistan,Polonya,0:3,2,0,3,0.6,2.0,1.8,1,0.6,1.8,1.8,
2021-08-20 20:30:00,Türkiye,Ukrayna,3:0,1,3,0,0.8,2.6,1.2,0,0.2,1.2,2.8,1.0
2021-08-20 21:00:00,Rusya,Fransa,3:1,1,3,1,0.4,2.0,1.8,0,0.4,1.4,1.8,
2021-08-20 21:15:00,Macaristan,Slovakya,3:1,1,3,1,0.4,1.2,2.2,0,0.2,0.8,2.8,
2021-08-21 17:30:00,Çek Cumhuriyeti,Polonya,1:3,2,1,3,0.2,1.6,2.6,1,0.6,1.8,1.8,0.3333333333333333
2021-08-21 18:00:00,Belarus,Hırvatistan,0:3,2,0,3,0.2,1.2,2.8,1,0.8,2.6,1.6,0.5
2021-08-21 20:30:00,Bulgaristan,İspanya,3:0,1,3,0,0.8,2.4,0.8,0,0.2,1.2,2.8,
2021-08-21 20:30:00,Romanya,İsveç,0:3,2,0,3,0.2,1.2,2.8,1,0.0,0.0,3.0,
